,player_id,team,opp,pos,name,fpts,proj_own,smash,opto_pct,value_percent,ceil,floor,min_exposure,max_exposure,rg_value,salary,custom,rg_id,partner_id
558,978577,JAX,HOU,RB,Travis Etienne Jr.,13.98,4.61,,,,23.8,5.5,0,0,-0.57,5900,,2861937,978577
559,923412,NO,SEA,WR,Rashid Shaheed,9.88,2.57,,,,17.1,4.0,0,0,-2.07,4600,,3503949,923412
560,822014,SF,ARI,WR,Russell Gage Jr.,,0.0,,,,,,0,0,-8.75,3000,,328706,822014
561,1163866,ARI,SF,RB,Zonovan Knight,,0.0,,,,4.9,,0,0,-10.75,4000,,3515609,1163866
562,1130976,DAL,CHI,RB,Hunter Luepke,0.86,0.8,,,,6.0,,0,0,-9.89,4000,,4857291,1130976
563,910377,ATL,CAR,TE,Feleipe Franks,,0.0,,,,3.7,,0,0,-7.75,2500,,2862131,910377
564,606799,NO,SEA,TE,Zach Wood,,0.0,,,,,,0,0,-7.75,2500,,-606799,606799
565,1287825,TB,NYJ,WR,Emeka Egbuka,12.07,11.45,,,,19.8,5.3,0,0,-3.28,6300,,8217509,1287825
566,1164889,NYJ,TB,WR,Garrett Wilson,15.03,3.51,,,,22.9,7.9,0,0,-0.12,6200,,3491660,1164889
567,922026,GB,CLE,WR,Mecole Hardman,,0.0,,,,,,0,0,-8.75,3000,,982694,922026
568,836116,WAS,LV,WR,Terry McLaurin,14.34,2.32,,,,22.3,7.3,0,0,-0.01,5800,,982511,836116
569,1162128,LAR,PHI,WR,Puka Nacua,20.14,3.86,,,,29.1,11.3,0,0,1.99,7700,,4687933,1162128
570,912137,GB,CLE,QB,Jordan Love,17.69,2.73,,,,26.7,10.0,0,0,-0.66,6300,,1844276,912137
571,885540,DEN,LAC,RB,Adam Prentice,,0.0,,,,,,0,0,-10.75,4000,,-885540,885540
572,1132517,DEN,LAC,TE,Nate Adkins,0.69,0.0,,,,4.6,,0,0,-7.06,2500,,4773039,1132517
573,1067309,MIN,CIN,RB,Zavier Scott,4.43,0.84,,,,10.8,0.4,0,0,-6.32,4000,,4716029,1067309
574,1181874,GB,CLE,TE,Tucker Kraft,11.75,3.06,,,,18.3,6.0,0,0,-0.4,4700,,4687755,1181874
575,1213928,LAC,DEN,QB,DJ Uiagalelei,,0.0,,,,,,0,0,-13.75,4000,,8244750,1213928
576,1181302,CLE,GB,WR,Cade McDonald,,0.0,,,,,,0,0,-8.75,3000,,8422768,1181302
577,976323,GB,CLE,QB,Malik Willis,,0.0,,,,,,0,0,-13.75,4000,,3491780,976323
578,945633,PIT,NE,WR,DK Metcalf,13.07,2.85,,,,20.8,6.5,0,0,-1.08,5700,,982879,945633
579,1064955,SEA,NO,RB,Brady Russell,,0.0,,,,4.9,,0,0,-10.75,4000,,4716358,1064955
580,822367,NYJ,TB,WR,Josh Reynolds,5.8,0.0,,,,11.9,1.9,0,0,-3.95,3500,,37051,822367
581,1286803,NE,PIT,QB,Drake Maye,20.48,3.09,,,,30.9,10.8,0,0,4.13,5300,,6228327,1286803
582,1164846,WAS,LV,WR,Luke McCaffrey,3.37,1.15,,,,8.8,0.2,0,0,-5.58,3100,,6228651,1164846
583,1164736,SEA,NO,TE,Nick Kallerup,,0.0,,,,3.7,,0,0,-7.75,2500,,8281271,1164736
584,694041,NE,PIT,WR,Stefon Diggs,11.21,2.33,,,,18.6,5.5,0,0,-1.14,4800,,21625,694041
585,911236,NYJ,TB,WR,Tyler Johnson,3.35,1.13,,,,8.6,0.2,0,0,-5.4,3000,,1844805,911236
586,1065406,IND,TEN,RB,Jonathan Taylor,18.18,4.18,,,,28.2,8.1,0,0,1.03,7200,,1844485,1065406
587,838878,DEN,LAC,WR,Courtland Sutton,14.71,2.55,,,,22.8,7.5,0,0,-0.04,6000,,328827,838878
588,835127,TB,NYJ,WR,Chris Godwin Jr.,,0.0,,,,,,0,0,-13.75,5500,,37002,835127
589,944038,WAS,LV,TE,John Bates,,0.0,,,,,,0,0,-7.75,2500,,2862096,944038
590,1130526,NO,SEA,WR,Kevin Austin Jr.,,0.0,,,,,,0,0,-8.75,3000,,3503700,1130526
591,1287826,PHI,LAR,QB,Kyle McCord,,0.0,,,,,,0,0,-13.75,4000,,8228917,1287826
592,1287837,NE,PIT,RB,TreVeyon Henderson,7.76,1.06,,,,15.2,2.3,0,0,-5.79,5400,,8223312,1287837
593,1395319,TEN,IND,WR,Elic Ayomanor,8.93,2.02,,,,15.8,3.7,0,0,-1.22,3700,,8229046,1395319
594,866973,ATL,CAR,WR,David Sills V,0.12,0.0,,,,4.5,,0,0,-8.63,3000,,982204,866973
595,976731,CLE,GB,TE,Sal Cannella,,0.0,,,,,,0,0,-7.75,2500,,3010086,976731
596,1060545,PHI,LAR,RB,A.J. Dillon,1.95,0.77,,,,7.4,,0,0,-8.8,4000,,1844274,1060545
597,976797,TEN,IND,RB,Jordan Mims,,0.0,,,,,,0,0,-10.75,4000,,4744238,976797
598,910852,ARI,SF,WR,Greg Dortch,2.83,1.21,,,,7.7,,0,0,-6.12,3100,,982285,910852
599,976236,PIT,NE,RB,Trey Sermon,,0.0,,,,,,0,0,-10.75,4000,,2862428,976236
600,879799,ARI,SF,QB,Kyler Murray,20.05,1.92,,,,30.3,10.5,0,0,2.1,6100,,973153,879799
601,911985,NO,SEA,TE,Jack Stoll,0.33,0.43,,,,4.0,,0,0,-7.42,2500,,2862067,911985
602,1161899,DEN,LAC,QB,Bo Nix,20.09,1.98,,,,30.0,10.8,0,0,2.74,5800,,6227935,1161899
603,978579,CIN,MIN,WR,Tee Higgins,14.92,2.64,,,,22.9,8.0,0,0,-0.03,6100,,1844128,978579
604,1160348,PHI,LAR,WR,John Metchie III,0.77,1.15,,,,5.4,,0,0,-7.98,3000,,3491692,1160348
605,1162537,NYJ,TB,RB,Breece Hall,14.37,3.76,,,,23.3,6.4,0,0,-0.38,6000,,3491661,1162537
606,1164979,LV,WAS,WR,Tre Tucker,8.89,4.29,,,,15.6,3.7,0,0,-0.66,3400,,4687881,1164979
607,1161228,WAS,LV,QB,Jayden Daniels,23.17,4.13,,,,34.4,12.4,0,0,3.42,7000,,6228653,1161228
608,1183008,NE,PIT,WR,Jeremiah Webb,,0.0,,,,,,0,0,-8.75,3000,,8274799,1183008
